id,title,author,year
1001,Mistério Noite,Mateus Lima,2022,
1002,Sombra Amor Sombra,Patricia Simas,2014,
1003,Mar Tempo Sombra Silêncio O,Nayara Faleiros,2015,
1004,A Sonho Luz O,Camila Cruz,2016,
1005,A Esperança Destino Sonho Silêncio,Gabriel Rocha,2020,
1006,Luz Vento,Leonardo Barbosa,2011,
1007,Vento Vida Esperança A,Mateus Martins,2016,
1008,Sombra Esperança Mar Sonho,Ana Luiza Santos,2016,
1009,Esperança A O,Hugo Cruz,2011,
1010,Futuro Vida Sombra Mistério,Cristiano Rocha,2016,
1011,Vida Vida Sonho,Patricia Faleiros,2013,
1012,Amor Cidade Destino Mistério,Camila Araujo,2012,
1013,Vento Tempo A,Luisa Mendes,2014,
1014,Passado Futuro Passado Esperança Tempo,Gabriel Souza,2016,
1015,Casa Silêncio Mar Amor Casa,Bruno Pinto,2016,
1016,Vida Luz O,Cristiano Nunes,2019,
1017,O Silêncio Futuro,Artur Amaral,2018,
1018,Tempo Árvore Sonho Mistério,Cleber Souza,2020,
1019,Sonho Mar Esperança,Caio Pereira,2020,
1020,Casa Amor Futuro,Gustavo Pinto,2014,
1021,Amor Futuro Mar Futuro Amor,Vitor Souza,2019,
1022,A Vida Destino Cidade,Patricia Amaral,2011,
1023,Tempo Mistério Vida Sombra,Davi Rocha,2021,
1024,Luz Mar,Davi Moraes,2015,
1025,Passado Cidade Sonho Vento,Luisa Costa,2013,
1026,Esperança Esperança,Davi Silva,2013,
1027,Árvore Futuro Cidade,Josué Araujo,2019,
1028,Sonho Tempo Vida,Rafael Costa,2020,
1029,Vida Tempo,Rodrigo Araujo,2013,
1030,Sombra Esperança Noite,Josué Freitas,2022,
1031,Sonho Silêncio,Maria Guedes,2018,
1032,Sombra Mar,Carlos Solano,2020,
1033,Sonho Vida Silêncio Casa,Camila Carvalho,2021,
1034,Vida Silêncio Mar Noite O,Rafael Pereira,2021,
1035,Árvore Mistério,Caio Martins,2022,
1036,Árvore A Esperança Passado,Cristiano Guedes,2022,
1037,Silêncio Destino,Luisa Pereira,2010,
1038,Silêncio Futuro,Hugo Martins,2022,
1039,Vento Mistério Cidade Sombra Vida,Natália Melo,2011,
1040,Tempo Futuro Vento Esperança,Leticia Nunes,2014,
1041,Sonho Destino Esperança,Lucas Araujo,2010,
1042,A Mar Árvore,Nayara Santoro,2014,
1043,Esperança Mistério,Fabricio Cruz,2018,
1044,Mistério Luz,Leticia Ribeiro,2022,
1045,Destino Passado Sonho Árvore O,Pedro Souza,2018,
1046,Vida Mar Passado Destino,Josué Mendes,2010,
1047,Sombra Cidade Mar Cidade Árvore,Patricia Ferreira,2015,
1048,Mistério Esperança Destino Cidade Amor,Fernanda Mendes,2016,
1049,Sonho Amor,Eduarda Costa,2020,
1050,Esperança Tempo Futuro Destino,Gabriel Santos,2017,
1051,Passado Passado Mistério,Rafael Rocha,2018,
1052,Esperança Vida Luz,Lucas Rezende,2012,
1053,Passado Vida,Chris Rezende,2022,
1054,Silêncio Tempo,Leonardo Solano,2015,
1055,O Mistério Árvore Vento Casa,Lucas Lima,2015,
1056,Sonho Noite Tempo Casa,Gustavo Melo,2015,
1057,Silêncio Destino Sonho Tempo Sonho,Arthur Solano,2021,
1058,Tempo Passado Vida Esperança,Natália Rezende,2011,
1059,Passado Tempo Árvore Passado Destino,Natália Cardoso,2018,
1060,Silêncio O Tempo Destino,Leticia Rocha,2020,
1061,Mar Cidade Cidade,Marcelo Oliveira,2015,
1062,Futuro Luz Tempo Tempo,Felipe Rocha,2022,
1063,Noite Destino,Ana Lima,2010,
1064,Cidade Destino,Gustavo Pereira,2016,
1065,Cidade Cidade,Ronaldo Martins,2010,
1066,Mar O,Caio Rocha,2022,
1067,A Amor Tempo Casa Mar,Thiago Souza,2022,
1068,Mistério Cidade,Julia Santos,2022,
1069,A Passado,Cristiano Costa,2022,
1070,Sombra A Passado,Lucas Souza,2017,
1071,Noite Árvore Mistério Cidade,Marcelo Cardoso,2020,
1072,Sombra Casa Vento Silêncio,Leticia Freitas,2011,
1073,Casa O Silêncio Luz Luz,João Mendes,2019,
1074,Amor Destino,Rodrigo Faleiros,2021,
1075,Sonho Tempo Sonho O Esperança,Ayrton Lima,2010,
1076,Destino O Futuro Tempo A,Marcelo Pinto,2013,
1077,Silêncio A Silêncio Mar,Eduardo Simas,2017,
1078,A Silêncio,Camila Lima,2012,
1079,Mar Noite Silêncio A,Carlos Saigg,2016,
1080,Luz Destino Esperança,Caio Cardoso,2022,
1081,Sombra O Sonho,Vitor Santos,2017,
1082,Passado Árvore A Sonho,Paloma Lima,2010,
1083,Árvore Casa Sombra Mistério,Chris Cruz,2016,
1084,Sombra A Destino,Davi Nunes,2018,
1085,Vento Vida,Ronaldo Moreira,2019,
1086,Passado Sombra Mistério,Eduardo Rezende,2015,
1087,Passado Vento Casa,Rafael Amaral,2021,
1088,Sonho Futuro,Mateus Oliveira,2019,
1089,Futuro Mistério A Mistério O,Mateus Santoro,2021,
1090,A O,Gustavo Saigg,2014,
1091,Mar Silêncio,Artur Pereira,2010,
1092,Passado Mistério,Ana Moreira,2021,
1093,Sonho Futuro,Hugo Araujo,2010,
