"id","title","author","year"
1,"Obra de Maria Lima","Fernanda Souza",2013
2,"Obra de Fernanda Silva","João Pereira",2016
3,"Obra de Ricardo Oliveira","Luiza Ferreira",2022
4,"O Fabuloso Destino","Débora Araújo",2017
5,"A Quarto Imperador","Léo Lima",2019
6,"O Falho Caminho","Gabriela Tavares",2021
7,"A Novo Segredo","Beatriz Moura",2019
8,"O Segundo Banco","Helena Medeiros",2019
9,"A Pequeno Jogador","Patrícia Tavares",2014
10,"O Último Amor","Fábio Gomes",2014
11,"A Perdido Caminho","Marcelo Andrade",2005
12,"A Importante Tesouro","Alice Mendes",2007
13,"A Novo Mistério","Amanda Cardoso",2007
14,"O Terceiro Banco","Rodrigo Borges",2020
15,"A Primeiro Segredo","Gustavo Cavalcanti",2018
16,"A Primeiro Tesouro","Marcelo Cavalcanti",2014
17,"O Encontrado Amor","Erick Marques",2016
18,"O Pequeno Tesouro","Bianca Coutinho",2017
19,"O Velho Caminho","Ivana Araújo",2023
20,"O Historico Mistério","Alice Lopes",2015
21,"A Último Segredo","Antônio Cavalcanti",2023
22,"A Primeiro Sonho","Vanessa Medeiros",2015
23,"O Quarto Mistério","Mariana Araújo",2010
24,"A Terceiro Ditador","Roberta Rodrigues",2013
25,"A Grande Caminho","Ana Lima",2023
26,"O Grande Tesouro","Ivan Neves",2017
27,"O Terceiro Mistério","Lucas Oliveira",2014
28,"A Velho Médico","Maria Sampaio",2018
29,"O Segundo Sonho","Lucas Pinheiro",2017
30,"O Segundo Mansao","Fernanda Borges",2023
31,"A Último Imperador","Júlia Monteiro",2015
32,"A Sensasional Mansao","Giovanna Barros",2023
33,"A Quarto Jogador","Raquel Ferreira",2015
34,"A Quarto Destino","Beatriz Freitas",2018
35,"A Grande Desafio","Débora Cavalcanti",2017
36,"A Perdido Casa","Beatriz Medeiros",2014
37,"O Grande Casa","Bruno Nunes",2017
38,"A Novo Imperador","Sandra Neves",2022
39,"A Grande Tesouro","Nelson Nunes",2021
40,"O Sensasional Destino","Bruno Rocha",2018
41,"O Pequeno Ditador","Guilherme Melo",2014
42,"O Segundo Segredo","Yasmin Correia",2019
43,"O Encontrado Segredo","Patrícia Andrade",2022
44,"A Encontrado Mansao","Guilherme Neves",2013
45,"A Grande Filosofo","Camila Castro",2021
46,"O Grande Destino","José Batista",2020
47,"A Segundo Mansao","Evelyn Santos",2019
48,"O Sensasional Destino","Gustavo Cavalcanti",2014
49,"A Velho Jogador","Eliane Rodrigues",2011
50,"A Último Ditador","Nelson Ramalho",2010
51,"O Segundo Filosofo","Davi Rocha",2014
52,"O Quarto Mestre","Fabrício Correia",2022
53,"O Encontrado Amor","Sabrina Coutinho",2022
54,"O Quarto Segredo","Rosana Lima",2021
55,"A Primeiro Casa","Elias Cardoso",2011
56,"O Sensasional Ditador","Aline Borges",2020
57,"A Grande Destino","Valéria Mendes",2023
58,"A Sensasional Casa","Felipe Andrade",2023
59,"O Quarto Mestre","Cristina Martins",2023
60,"O Primeiro Tesouro","Gabriel Barros",2019
61,"O Último Mistério","Nelson Gomes",2013
62,"A Novo Filosofo","Larissa Leal",2015
63,"O Quarto Tesouro","Clarice Martins",2013
64,"A Último Destino","Patrícia Sampaio",2021
65,"A Terceiro Imperador","Sandra Barros",2014
66,"A Segundo Casa","Simone Cardoso",2011
67,"O Quarto Destino","André Rodrigues",2013
68,"A Perdido Desafio","Hugo Azevedo",2010
69,"A Encontrado Mansao","Rafael Castro",2011
70,"O Velho Mestre","Vanessa Rodrigues",2021
71,"O Terceiro Mestre","Nathalia Oliveira",2011
72,"O Segundo Tesouro","Luiza Correia",2023
73,"A Pequeno Segredo","Raul Rocha",2012
74,"O Sensasional Imperador","Daniel Marques",2023
75,"A Perdido Sonho","Otávio Lima",2017
76,"A Terceiro Ditador","Patrícia Braga",2012
77,"A Segundo Desafio","Yasmin Medeiros",2016
78,"O Quarto Jogador","Elias Santos",2023
79,"A Sensasional Ditador","Beatriz Silva",2017
80,"A Encontrado Mansao","Beatriz Mendes",2016
81,"O Grande Tesouro","Rafaela Tavares",2019
82,"O Encontrado Tesouro","Adriana Lima",2012
83,"A Encontrado Jogador","Simone Cardoso",2017
84,"O Grande Tesouro","Lucas Moura",2023
85,"O Primeiro Desafio","Ricardo Oliveira",2016
86,"O Último Médico","Fabrício Pires",2013
87,"A Pequeno Sonho","Rodrigo Mendes",2021
88,"O Perdido Amor","Pedro Cardoso",2013
89,"O Novo Caminho","Rosana Correia",2012
90,"A Último Mansao","Erick Souza",2015
91,"A Grande Mestre","Rafael Lima",2014
92,"A Terceiro Imperador","Bruno Cardoso",2021
93,"A Perdido Jogador","Guilherme Dias",2014
94,"A Encontrado Mansao","Juliano Costa",2013
95,"A Último Mansao","Guilherme Marques",2010
96,"A Perdido Destino","Vanessa Leal",2011
97,"O Quarto Casa","Lívia Vieira",2011
98,"O Último Amor","Francisco Coutinho",2016
99,"O Pequeno Mansao","Isabela Cardoso",2018
100,"O Último Mestre","Paulo Vieira",2017
101,"A Novo Médico","Júlia Carvalho",2010
102,"O Encontrado Jogador","Helena Braga",2019
103,"A Pequeno Casa","Gustavo Coutinho",2010
104,"O Terceiro Tesouro","Débora Lima",2014
105,"O Grande Tesouro","Rafael Pereira",2021
106,"A Velho Mistério","Lauro Azevedo",2021
107,"O Velho Imperador","Rebeca Moura",2010
108,"O Velho Amor","Isaac Ramalho",2016
109,"A Sensasional Mistério","Francisco Braga",2021
110,"A Segundo Tesouro","Natália Almeida",2013
111,"A Quarto Amor","Nicole Teixeira",2016
112,"O Quarto Mansao","Maurício Sampaio",2018
113,"A Segundo Caminho","Marcos Medeiros",2021
114,"O Grande Destino","Lívia Dias",2021
115,"O Grande Ditador","Gustavo Ramalho",2013
116,"A Pequeno Mistério","Sandra Mendes",2021
117,"A Sensasional Destino","Isadora Fonseca",2012
118,"O Encontrado Destino","Leonardo Coutinho",2023
119,"A Terceiro Casa","Rafael Rocha",2020
120,"A Terceiro Amor","Enzo Ferreira",2012
121,"O Sensasional Desafio","Fernanda Borges",2019
122,"A Segundo Mestre","Ricardo Moura",2017
123,"A Sensasional Caminho","Simone Pinheiro",2017
124,"A Terceiro Médico","Marcelo Marques",2015
125,"A Terceiro Amor","Fernanda Castro",2011
126,"O Pequeno Amor","Sheila Castro",2016
127,"A Grande Casa","Cássio Batista",2015
128,"A Velho Amor","Sheila Nunes",2010
129,"O Encontrado Imperador","Samuel Mendes",2015
130,"A Segundo Casa","Yasmin Pereira",2021
131,"A Velho Mansao","Renata Pinheiro",2020
132,"O Novo Segredo","Carolina Costa",2016
133,"O Velho Filosofo","Lauro Neves",2010
134,"A Grande Imperador","João Neves",2022
135,"O Pequeno Mistério","Maitê Cavalcanti",2013
136,"O Terceiro Mistério","Thiago Dias",2015
137,"O Novo Ditador","Adriana Andrade",2020
138,"A Segundo Ditador","Paula Ribeiro",2015
139,"O Sensasional Tesouro","Eduardo Martins",2014
140,"A Primeiro Imperador","Fernanda Coutinho",2016
141,"A Grande Mistério","Sabrina Pereira",2019
142,"O Velho Segredo","Giovanna Costa",2023
143,"A Velho Mansao","Sandra Santos",2021
144,"A Quarto Médico","Nelson Ferreira",2014
145,"O Encontrado Médico","Pedro Sampaio",2020
146,"O Segundo Mistério","Paula Ribeiro",2015
147,"O Encontrado Casa","Tatiana Correia",2015
148,"A Quarto Tesouro","Thiago Pereira",2020
149,"A Velho Mistério","Nicole Rocha",2014
150,"O Velho Mestre","Iris Ferreira",2023
151,"O Terceiro Caminho","Fernanda Ribeiro",2011
152,"A Novo Ditador","Guilherme Mendes",2014
153,"O Velho Sonho","Amanda Lopes",2018
154,"O Terceiro Mansao","Felipe Fonseca",2014
155,"A Velho Imperador","Iris Medeiros",2016
156,"A Quarto Amor","Roberta Sampaio",2015
157,"O Grande Mansao","Cristina Sampaio",2020
158,"O Sensasional Casa","Samuel Sampaio",2019
159,"O Primeiro Segredo","Lucas Lopes",2017
160,"A Primeiro Casa","Pedro Dias",2023
161,"A Primeiro Amor","Rafael Monteiro",2012
162,"O Último Mistério","Ana Mendes",2020
163,"O Velho Amor","Davi Ferreira",2010
164,"O Perdido Mansao","Juliano Coutinho",2020
165,"A Quarto Amor","Isabela Nunes",2022
166,"A Segundo Caminho","Lauro Cavalcanti",2022
167,"A Encontrado Caminho","Thiago Oliveira",2022
168,"A Segundo Imperador","Ana Carvalho",2023
169,"A Novo Mistério","Raquel Lima",2017
170,"A Segundo Filosofo","Rebeca Vieira",2020
171,"A Terceiro Tesouro","Beatriz Cavalcanti",2011
172,"A Grande Filosofo","Gabriel Monteiro",2021
173,"O Segundo Tesouro","Aline Sampaio",2018
174,"A Primeiro Desafio","Ivana Vieira",2020
175,"A Primeiro Mistério","Simone Leal",2014
176,"A Último Segredo","Sônia Pires",2015
177,"O Último Caminho","Patrícia Vieira",2013
178,"O Sensasional Imperador","Rodrigo Coutinho",2011
179,"A Velho Mansao","Fábio Ramalho",2023
