placeId,placeName,rating
1,Heather Park,4.2
2,Bill Greengrocer's,4.8
3,Timothy Airport,3.4
4,Kisha Hotel,4.3
5,Theodore Bestaurant,3.2
6,Sean Caf�,4.1
7,Amanda Zoo,5.0
8,Steven Butcher's,3.6
9,Michael Museum,3.9
10,Stephen Service Station,3.4
11,Bridget Church,3.1
12,Madelyn Zoo,3.6
13,Lucy Department Store,3.6
14,Eugenia Museum,3.8
15,Brittany Hotel,4.2
16,Maria Park,4.7
17,Rodolfo Cinema,4.7
18,George Library,3.3
19,Brandie Department Store,5.0
20,Alan Book Shop,4.0
21,Emma Airport,3.1
22,Angie Zoo,4.7
23,Jorge Bar,4.0
24,Christine Butcher's,4.8
25,Paul Bestaurant,4.3
26,Kristy Museum,3.9
27,Micheal Cinema,3.6
28,Ryan Book Shop,3.9
29,Pamela Supermarket,3.6
30,Donna Park,3.1
31,Arthur Zoo,4.1
32,Donna Bookstore,3.8
33,Harold Museum,4.0
34,Theresa Bestaurant,3.3
35,Jerry Bestaurant,4.1
36,Jimmy Greengrocer's,3.3
37,Jose Book Shop,4.8
38,Edwin Book Shop,3.9
39,Alvaro Library,3.1
40,William Service Station,3.4
41,Jacqueline Butcher's,3.3
42,Trisha Pharmacy,4.8
43,Andrea Gallery,4.7
44,Roberto Gallery,3.2
45,Charles Library,3.4
46,Carolyn Gallery,4.3
47,Maria Museum,4.0
48,Joan Museum,4.0
49,Debra Library,4.7
50,Sandra Supermarket,3.1
51,Jean Library,4.4
52,Jill Library,4.0
53,Jennifer Park,3.6
54,Darcey Hotel,4.5
55,Elena Hairdresser's,4.1
56,Curtis Bestaurant,3.4
57,Timothy Department Store,4.3
58,Anne Mall,3.6
59,Frances Service Station,4.4
60,Chris Church,3.2
61,Virginia Bakery,5.0
62,Pamela Mall,3.5
63,Jeffrey Caf�,4.1
64,Felipe Park,4.2
65,Catherine Airport,3.2
66,Cynthia Bakery,4.5
67,Juan Service Station,4.8
68,Angela Church,4.5
69,Frederic Zoo,4.7
70,Geraldine Butcher's,4.0
71,Carolyn Bakery,3.3
72,Ralph Gallery,4.7
73,William Gallery,5.0
74,Patricia Mall,3.5
75,Harold Church,3.2
76,Diane Hairdresser's,3.0
77,Naomi Department Store,3.0
78,Evelyn Museum,4.4
79,Santos Book Shop,3.5
80,Roy Department Store,4.5
81,Kristi Service Station,4.9
82,Mary Church,4.0
83,Roxanne Airport,3.5
84,Jim Pharmacy,3.0
85,Erik Airport,3.2
86,Jacquelyn Museum,4.0
87,Brandon Gallery,3.4
88,Charles Supermarket,5.0
89,Eddie Book Shop,4.2
90,Paul Library,3.6
91,Jillian Mall,3.9
92,Nathan Zoo,4.5
93,Judith Airport,4.5
94,Juan Pub,3.4
95,Joan Pharmacy,3.8
96,Jose Bookstore,4.4
97,Elyse Bookstore,4.4
98,Shawn Park,4.2
99,Lorenzo Bookstore,4.8
100,Anthony Butcher's,4.7
101,Philip Park,3.0
102,Michale Bakery,3.8
103,Nathanael Bakery,3.2
104,Sharon Pharmacy,3.7
105,Mattie Zoo,3.1
106,Rosemarie Department Store,3.0
107,Judith Butcher's,4.8
108,Amber Department Store,4.3
109,Gerard Supermarket,3.6
110,Joseph Park,3.5
111,Marilyn Hotel,4.2
112,Elizabeth Church,4.3
113,Rose Cinema,3.7
114,Ronald Museum,4.4
115,Dorcas Cinema,4.6
116,Richard Cinema,3.1
117,Vickie Caf�,4.3
118,Melony Butcher's,3.5
119,Katherine Hotel,4.3
120,Benjamin Pharmacy,4.3
121,Dorothy Hairdresser's,3.5
122,Anthony Pub,4.0
123,Barbara Greengrocer's,3.3
124,Micheal Park,3.4
125,Robert Caf�,3.7
126,Linda Hairdresser's,3.5
127,Donna Butcher's,3.4
128,Jacqueline Butcher's,4.2
129,James Bar,3.1
130,Cornelius Zoo,5.0
131,Terry Greengrocer's,3.9
132,Gregory Gym,4.5
133,Jon Hotel,4.2
134,Bobbie Zoo,4.2
135,Barbara Hairdresser's,3.3
136,David Pub,4.7
137,William Cinema,4.9
138,Douglas Park,4.3
139,Christopher Museum,3.5
140,Carl Book Shop,4.3
141,Linda Greengrocer's,3.0
142,Angela Pub,3.4
143,Cora Greengrocer's,4.0
144,Angelia Department Store,4.7
145,Roy Library,4.4
146,Roberta Caf�,3.6
147,Jeffrey Bar,4.0
148,Enrique Museum,3.3
149,Douglas Hairdresser's,3.6
150,Josie Cinema,3.1
151,Elvin Bookstore,3.5
152,Wesley Museum,3.8
153,Latoya Airport,3.6
154,Bethanie Cinema,4.7
155,Samantha Hotel,3.3
156,Pablo Pub,3.2
157,Marjorie Hairdresser's,4.8
158,Ramiro Bestaurant,3.1
159,Amy Library,3.1
160,Nancy Airport,3.9
161,Dayna Service Station,4.8
162,Carol Book Shop,3.1
163,Paul Museum,3.1
164,Erma Bar,4.5
165,Ronald Hairdresser's,4.5
166,Karena Park,4.7
167,Brian Service Station,3.0
168,Doris Butcher's,4.1
169,Michelle Greengrocer's,4.9
170,Jame Bar,4.3
171,Patricia Pub,4.2
172,Stephen Church,3.3
173,Tommy Book Shop,4.6
174,Stephen Department Store,4.4
175,Patricia Bakery,3.1
176,Jessica Airport,3.9
177,Dorothy Park,3.3
178,Nathan Book Shop,4.8
179,Frances Mall,4.2
180,Kathryn Department Store,4.8
181,Gloria Museum,3.9
182,Michael Butcher's,3.9
183,Tammy Gallery,4.1
184,Lorraine Hairdresser's,4.9
185,Yvette Butcher's,3.5
186,Estella Church,3.4
187,Kerri Book Shop,4.0
188,Richard Gym,3.5
189,David Museum,4.0
190,Stephen Bookstore,3.8
191,James Bookstore,3.5
192,Dustin Bookstore,3.1
193,Gloria Book Shop,4.4
194,Mary Caf�,4.5
195,Joshua Hairdresser's,4.1
196,Ruth Library,3.7
197,Norma Bakery,4.8
198,Janet Bakery,3.2
199,Gabriel Zoo,4.3
200,Rosemary Bookstore,3.3
201,Ronnie Caf�,3.6
202,Keith Bar,4.6
203,Magdalena Museum,3.6
204,Raymond Gym,3.5
205,Julian Cinema,4.9
206,Vivian Hotel,3.4
207,Valarie Hotel,4.3
208,Harold Hairdresser's,4.1
209,Novella Airport,5.0
210,James Greengrocer's,4.5
211,Tracey Pub,5.0
212,Irma Hairdresser's,3.3
213,Mary Library,4.7
214,Johnny Bar,3.6
215,Ann Cinema,3.6
216,Ashley Supermarket,3.0
217,Stephen Pharmacy,4.7
218,Nancy Bookstore,3.5
219,Brian Gallery,3.2
220,Clinton Zoo,3.3
221,John Pub,3.6
222,Charles Pub,4.4
223,Cheryl Pub,4.9
224,Kellie Hotel,3.8
225,Edna Supermarket,4.7
226,Barbara Museum,3.6
227,Danial Caf�,3.3
228,Susan Park,3.1
229,Edgar Bakery,3.8
230,Jeremy Gallery,4.2
231,Ebony Hotel,4.0
232,William Hairdresser's,3.2
233,Iris Service Station,4.6
234,Thomas Bar,3.2
235,Ruth Park,3.1
236,Laura Mall,3.4
237,Henry Hairdresser's,4.8
238,Michael Caf�,4.5
239,Charles Service Station,4.9
240,Andrea Mall,3.6
241,Cory Church,3.2
242,Kristine Zoo,3.4
243,Scott Cinema,4.1
244,Laura Mall,3.2
245,Karen Department Store,4.5
246,Samuel Airport,4.9
247,David Hairdresser's,4.3
248,Mark Bar,3.8
249,Magdalena Department Store,3.9
250,Lonnie Hotel,3.8
251,Dolores Cinema,4.3
252,Heather Book Shop,3.3
253,Ruth Park,4.8
254,Doris Greengrocer's,3.7
255,Carmen Cinema,4.4
256,Dorothy Butcher's,4.0
257,Bruce Museum,4.0
258,Sandra Book Shop,4.7
259,Latina Library,3.8
260,Ellen Caf�,4.1
261,Mary Bakery,3.8
262,Casey Department Store,4.0
263,Mary Church,4.7
264,Manuel Library,3.9
265,William Caf�,3.3
266,Michael Bar,3.6
